         128502091 function calls (127962783 primitive calls) in 2091.010 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    31263    0.439    0.000   21.926    0.001 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\nn\functional.py:1249(dropout)
    62522    0.435    0.000    1.037    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\multiprocessing\reductions.py:391(rebuild_typed_storage)
   160000    0.433    0.000    1.062    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torchvision\transforms\_functional_pil.py:41(get_image_num_channels)
    60001    0.431    0.000    0.648    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\PIL\Image.py:372(_getdecoder)
   623930    0.423    0.000    0.424    0.000 {built-in method builtins.hasattr}
    15641    0.422    0.000    4.410    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\_dynamo\eval_frame.py:267(__call__)
    50000    0.415    0.000    1.128    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\PIL\ImageStat.py:69(_getcount)
  1423539    0.405    0.000    0.405    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\_jit_internal.py:1109(is_scripting)
    31385    0.403    0.000    3.409    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\utils\data\dataloader.py:1347(_try_put_index)
    60001    0.402    0.000    1.329    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\PIL\Image.py:781(frombytes)
   834858    0.398    0.000    0.398    0.000 {method 'pixel_access' of 'ImagingCore' objects}
       23    0.385    0.017    0.385    0.017 {built-in method _winapi.WaitForMultipleObjects}
    50000    0.383    0.000    1.019    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\PIL\ImageStat.py:30(__init__)
    31325    0.380    0.000    2.100    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\queues.py:86(put)
    31456    0.380    0.000    0.380    0.000 {method 'release' of '_thread.lock' objects}
    50000    0.374    0.000    0.374    0.000 {method 'histogram' of 'ImagingCore' objects}
